STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,EGY,Egypt,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,449.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRI,Puerto Rico,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,8870,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRI,Puerto Rico,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,8870,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NRU,Nauru,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,20,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NRU,Nauru,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,20,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VNM,Viet Nam,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,147189.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VNM,Viet Nam,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,147948.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NCL,New Caledonia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,8379.2,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NCL,New Caledonia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,8378.2,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MOZ,Mozambique,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,799380,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MOZ,Mozambique,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,799380,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,10,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,10,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ITA,Italy,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,96199.41,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ITA,Italy,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,96737.5,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KNA,Saint Kitts and Nevis,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,260,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KNA,Saint Kitts and Nevis,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,260,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BFA,Burkina Faso,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,273600,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BFA,Burkina Faso,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,273600,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VIR,United States Virgin Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,350,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VIR,United States Virgin Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,350,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LTU,Lithuania,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,62610,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LTU,Lithuania,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,62604,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FRO,Faroe Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,12960,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FRO,Faroe Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,12960,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ERI,Eritrea,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,121630.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ERI,Eritrea,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,121630.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AIA,Anguilla,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,90,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AIA,Anguilla,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,90,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MSR,Montserrat,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,25,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MSR,Montserrat,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,25,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,24670,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,24670,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIC,Nicaragua,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,33075.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIC,Nicaragua,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,32075.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ZWE,Zimbabwe,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,386850,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ZWE,Zimbabwe,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,386850,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KHM,Cambodia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,79126.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KHM,Cambodia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,77569.91,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SOM,Somalia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,59032.5,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SOM,Somalia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,58265,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MEX,Mexico,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,1943950,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MEX,Mexico,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,1943950,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRA,Brazil,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,4953914,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRA,Brazil,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,4941961,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BGD,Bangladesh,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,18834,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BGD,Bangladesh,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,18834,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COL,Colombia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,589426.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COL,Colombia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,587433.4,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FLK,Falkland Islands (Malvinas),A,Annual,AREA,Total area,KM2,Square kilometres,2021,,12170,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FLK,Falkland Islands (Malvinas),A,Annual,AREA,Total area,KM2,Square kilometres,2022,,12170,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MCO,Monaco,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,0,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MCO,Monaco,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,0,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COK,Cook Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,240,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COK,Cook Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,240,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PNG,Papua New Guinea,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,452860,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PNG,Papua New Guinea,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,452860,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CMR,Cameroon,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,475440,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CMR,Cameroon,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,475440,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,IRQ,Iraq,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,435050,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,IRQ,Iraq,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,435050,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DOM,Dominican Republic,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,48198.02,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DOM,Dominican Republic,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,48198.02,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MMR,Myanmar,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,652670,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MMR,Myanmar,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,652670,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MSR,Montserrat,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MSR,Montserrat,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,100,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SVK,Slovak Republic,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,19259,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SVK,Slovak Republic,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,19259,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,WSM,Samoa,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,2840,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,WSM,Samoa,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,2840,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MRT,Mauritania,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,1030700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MRT,Mauritania,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,1030700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LVA,Latvia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,34146.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LVA,Latvia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,34185.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRN,Brunei Darussalam,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,3800,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRN,Brunei Darussalam,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,3800,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NPL,Nepal,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,147180,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NPL,Nepal,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,147180,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GTM,Guatemala,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,107160,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GTM,Guatemala,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,107160,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UGA,Uganda,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,241550,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UGA,Uganda,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,241550,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NCL,New Caledonia,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,18280,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NCL,New Caledonia,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,18280,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TCA,Turks and Caicos Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,950,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TCA,Turks and Caicos Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,950,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KHM,Cambodia,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,176520,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KHM,Cambodia,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,176520,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PYF,French Polynesia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,1494.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PYF,French Polynesia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,1494.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SPM,Saint Pierre and Miquelon,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,230,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SPM,Saint Pierre and Miquelon,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,230,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UZB,Uzbekistan,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,440653,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UZB,Uzbekistan,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,440652,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COM,Comoros,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,324.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COM,Comoros,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,320.4,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COK,Cook Islands,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,155.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,COK,Cook Islands,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,155.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIC,Nicaragua,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,130370,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIC,Nicaragua,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,130370,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LCA,Saint Lucia,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,620,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LCA,Saint Lucia,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,620,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,USA,United States,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,9147420,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,USA,United States,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,9147420,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SOM,Somalia,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,637660,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SOM,Somalia,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,637660,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MRT,Mauritania,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,3073.667,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MRT,Mauritania,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,3018.889,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRB,Barbados,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,430,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRB,Barbados,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,430,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SLV,El Salvador,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,5793.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SLV,El Salvador,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,5748.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ROU,Romania,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,238400,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ROU,Romania,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,238400,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SUR,Suriname,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,163820,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SUR,Suriname,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,163820,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NFK,Norfolk Island,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,40,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NFK,Norfolk Island,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,40,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,1087.43,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,1087.43,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TWN,Chinese Taipei,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,35960,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TWN,Chinese Taipei,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,35960,,E,Estimated value,0,Units,1,One
